Country Name,Country Code,Year,Import_Dependency_Pct
Arab World,ARB,1993,-309.2
Argentina,ARG,1993,-10.8
Australia,AUS,1993,-92.4
Austria,AUT,1993,67.0
Azerbaijan,AZE,1993,-1.7
Bahrain,BHR,1993,-143.4
Bangladesh,BGD,1993,14.0
Belarus,BLR,1993,87.9
Belgium,BEL,1993,84.5
Benin,BEN,1993,-2.7
Bolivia,BOL,1993,-73.0
Bosnia and Herzegovina,BIH,1993,16.4
Brazil,BRA,1993,30.9
Brunei Darussalam,BRN,1993,-746.9
Bulgaria,BGR,1993,60.3
Cameroon,CMR,1993,-98.0
Canada,CAN,1993,-42.1
Caribbean small states,CSS,1993,-90.7
Central Europe and the Baltics,CEB,1993,26.4
Chile,CHL,1993,51.1
China,CHN,1993,-0.4
Colombia,COL,1993,-88.9
"Congo, Dem. Rep.",COD,1993,-1.7
"Congo, Rep.",COG,1993,-1153.4
Costa Rica,CRI,1993,63.9
Cote d'Ivoire,CIV,1993,25.6
Croatia,HRV,1993,34.0
Curacao,CUW,1993,247.7
Czechia,CZE,1993,15.9
Denmark,DNK,1993,30.1
Early-demographic dividend,EAR,1993,-66.4
East Asia & Pacific,EAS,1993,21.8
East Asia & Pacific (IDA & IBRD countries),TEA,1993,-5.7
East Asia & Pacific (excluding high income),EAP,1993,-5.3
Ecuador,ECU,1993,-199.7
"Egypt, Arab Rep.",EGY,1993,-65.8
El Salvador,SLV,1993,44.6
Eritrea,ERI,1993,40.0
Estonia,EST,1993,37.6
Ethiopia,ETH,1993,3.8
Euro area,EMU,1993,60.0
Europe & Central Asia,ECS,1993,14.9
Europe & Central Asia (IDA & IBRD countries),TEC,1993,-10.7
Europe & Central Asia (excluding high income),ECA,1993,24.3
European Union,EUU,1993,52.1
Finland,FIN,1993,57.2
Fragile and conflict affected situations,FCS,1993,-28.5
France,FRA,1993,48.7
Gabon,GAB,1993,-1088.7
Georgia,GEO,1993,79.4
Germany,DEU,1993,56.7
Ghana,GHA,1993,15.3
Greece,GRC,1993,78.1
Guatemala,GTM,1993,30.2
Heavily indebted poor countries (HIPC),HPC,1993,-9.2
High income,HIC,1993,9.6
Honduras,HND,1993,33.9
"Hong Kong SAR, China",HKG,1993,138.0
Hungary,HUN,1993,47.7
IBRD only,IBD,1993,-17.0
IDA & IBRD total,IBT,1993,-18.0
IDA blend,IDB,1993,-50.6
IDA only,IDX,1993,-6.1
IDA total,IDA,1993,-29.7
India,IND,1993,14.3
Indonesia,IDN,1993,-72.8
"Iran, Islamic Rep.",IRN,1993,-160.3
Iraq,IRQ,1993,-17.3
Ireland,IRL,1993,70.2
Israel,ISR,1993,101.5
Italy,ITA,1993,82.8
Jamaica,JAM,1993,95.8
Japan,JPN,1993,83.7
Jordan,JOR,1993,102.0
Kazakhstan,KAZ,1993,-19.8
Kenya,KEN,1993,21.3
"Korea, Dem. People's Rep.",PRK,1993,11.7
"Korea, Rep.",KOR,1993,87.9
Kuwait,KWT,1993,-767.3
Kyrgyz Republic,KGZ,1993,59.6
Late-demographic dividend,LTE,1993,-19.0
Latin America & Caribbean,LCN,1993,-12.4
Latin America & Caribbean (excluding high income),LAC,1993,-16.4
Latin America & the Caribbean (IDA & IBRD countries),TLA,1993,-13.2
Latvia,LVA,1993,74.3
Least developed countries: UN classification,LDC,1993,-22.1
Libya,LBY,1993,-530.3
Lithuania,LTU,1993,57.6
Low & middle income,LMY,1993,-15.1
Low income,LIC,1993,-26.2
Lower middle income,LMC,1993,-7.8
Luxembourg,LUX,1993,101.8
Madagascar,MDG,1993,12.7
Malaysia,MYS,1993,-73.1
Mexico,MEX,1993,-53.7
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1993,-224.1
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1993,-115.8
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1993,-115.8
Middle income,MIC,1993,-14.8
Moldova,MDA,1993,93.7
Morocco,MAR,1993,86.3
Mozambique,MOZ,1993,6.7
Myanmar,MMR,1993,2.6
Namibia,NAM,1993,68.7
Nepal,NPL,1993,7.2
Netherlands,NLD,1993,20.9
New Zealand,NZL,1993,14.2
Nicaragua,NIC,1993,34.0
Nigeria,NGA,1993,-274.5
North America,NAC,1993,14.6
North Macedonia,MKD,1993,47.0
Norway,NOR,1993,-552.3
OECD members,OED,1993,26.8
Oman,OMN,1993,-631.8
Pakistan,PAK,1993,22.4
Panama,PAN,1993,173.1
Paraguay,PRY,1993,-49.2
Peru,PER,1993,-0.4
Philippines,PHL,1993,45.7
Poland,POL,1993,2.6
Portugal,PRT,1993,87.3
Post-demographic dividend,PST,1993,31.6
Pre-demographic dividend,PRE,1993,-89.1
Romania,ROU,1993,27.2
Russian Federation,RUS,1993,-39.0
Rwanda,RWA,1993,3.3
Saudi Arabia,SAU,1993,-485.2
Senegal,SEN,1993,49.7
Serbia,SRB,1993,10.2
Singapore,SGP,1993,185.6
Slovak Republic,SVK,1993,68.8
Slovenia,SVN,1993,48.3
Small states,SST,1993,-137.1
South Africa,ZAF,1993,-27.8
South Asia,SAS,1993,14.5
South Asia (IDA & IBRD),TSA,1993,14.5
Spain,ESP,1993,69.8
Sri Lanka,LKA,1993,35.1
Sub-Saharan Africa,SSF,1993,-63.7
Sub-Saharan Africa (IDA & IBRD countries),TSS,1993,-63.7
Sub-Saharan Africa (excluding high income),SSA,1993,-69.6
Sweden,SWE,1993,39.6
Switzerland,CHE,1993,56.4
Syrian Arab Republic,SYR,1993,-145.6
Tajikistan,TJK,1993,48.1
Tanzania,TZA,1993,8.4
Thailand,THA,1993,47.9
Trinidad and Tobago,TTO,1993,-90.7
Tunisia,TUN,1993,-6.9
Turkiye,TUR,1993,55.7
Turkmenistan,TKM,1993,-445.0
Uganda,UGA,1993,3.4
Ukraine,UKR,1993,46.4
United Arab Emirates,ARE,1993,-404.3
United Kingdom,GBR,1993,-0.0
United States,USA,1993,20.9
Upper middle income,UMC,1993,-16.9
Uruguay,URY,1993,54.6
Uzbekistan,UZB,1993,8.8
Viet Nam,VNM,1993,-14.1
World,WLD,1993,1.2
"Yemen, Rep.",YEM,1993,-272.0
Zambia,ZMB,1993,7.3
Zimbabwe,ZWE,1993,12.8
Africa Eastern and Southern,AFE,1994,-22.7
Africa Western and Central,AFW,1994,-229.3
Albania,ALB,1994,3.5
Algeria,DZA,1994,-330.5
Angola,AGO,1994,-402.7
Arab World,ARB,1994,-295.8
Argentina,ARG,1994,-17.0
Australia,AUS,1994,-91.4
Austria,AUT,1994,66.4
Azerbaijan,AZE,1994,1.9
Bahrain,BHR,1994,-125.5
Bangladesh,BGD,1994,15.3
Belarus,BLR,1994,84.8
Belgium,BEL,1994,87.1
Benin,BEN,1994,-1.2
Bolivia,BOL,1994,-69.0
Bosnia and Herzegovina,BIH,1994,49.7
Brazil,BRA,1994,30.0
Brunei Darussalam,BRN,1994,-830.3
Bulgaria,BGR,1994,56.8
Cameroon,CMR,1994,-89.6
Canada,CAN,1994,-46.2
Caribbean small states,CSS,1994,-99.5
Central Europe and the Baltics,CEB,1994,25.9
Chile,CHL,1994,58.3
China,CHN,1994,-1.5
Colombia,COL,1994,-86.1
"Congo, Dem. Rep.",COD,1994,-5.1
"Congo, Rep.",COG,1994,-1251.6
Costa Rica,CRI,1994,66.9
Cote d'Ivoire,CIV,1994,25.4
Croatia,HRV,1994,37.6
Curacao,CUW,1994,241.4
Czechia,CZE,1994,18.8
Denmark,DNK,1994,30.2
Early-demographic dividend,EAR,1994,-62.0
East Asia & Pacific,EAS,1994,22.1
East Asia & Pacific (IDA & IBRD countries),TEA,1994,-7.1
East Asia & Pacific (excluding high income),EAP,1994,-6.8
Ecuador,ECU,1994,-200.2
"Egypt, Arab Rep.",EGY,1994,-67.7
El Salvador,SLV,1994,44.2
Equatorial Guinea,GNQ,1994,-37.6
Eritrea,ERI,1994,47.4
Estonia,EST,1994,35.4
Ethiopia,ETH,1994,4.2
Euro area,EMU,1994,61.4
