year,population,Region
2023,1900174.5,
2024,1919028.25,
2008,1240413.75,
2009,1250066.25,
2010,1256237.5,
2011,1262853.25,
2012,1268534.75,
2013,1273964.25,
2014,1279523.75,
2015,1286487.25,
2016,1297382.0,
2017,1307923.25,
2018,1316358.0,
2019,1323129.5,
2020,1327957.5,
2021,1335175.75,
2022,1349179.75,
2023,1361139.75,
2024,1368131.75,
2008,579495.0,
2009,579963.25,
2010,579453.5,
2011,579933.25,
2012,579799.0,
2013,580217.75,
2014,581481.25,
2015,583421.25,
2016,586198.25,
2017,587838.5,
2018,589203.0,
2019,589917.75,
2020,590056.0,
2021,590722.0,
2022,593186.5,
2023,594243.5,
2024,592965.75,
2008,820258.75,
2009,820969.5,
2010,820416.0,
2011,819094.25,
2012,817418.5,
2013,816440.0,
2014,818068.25,
2015,822984.5,
2016,829636.5,
2017,833498.25,
2018,835801.0,
2019,836964.25,
2020,837636.75,
2021,840704.75,
2022,846588.75,
2023,850802.25,
2024,853605.25,
2008,1196640.5,
2009,1199941.5,
2010,1200565.5,
2011,1200985.5,
2012,1201476.0,
2013,1201546.75,
2014,1203680.5,
2015,1207867.25,
2016,1214314.25,
2017,1218551.25,
2018,1221855.0,
2019,1223701.5,
2020,1223203.5,
2021,1224891.75,
2022,1232725.25,
2023,1238052.75,
2024,1239138.5,
2008,58540.0,Central Jutland
2009,58724.5,Central Jutland
2010,58321.0,Central Jutland
2011,58057.25,Central Jutland
2012,57804.75,Central Jutland
2013,57379.5,Central Jutland
2014,57104.5,Central Jutland
2015,57086.25,Central Jutland
2016,57061.0,Central Jutland
2017,57077.5,Central Jutland
2018,57018.75,Central Jutland
2019,56852.5,Central Jutland
2020,56394.25,Central Jutland
2021,56192.75,Central Jutland
2022,56310.0,Central Jutland
2023,56296.75,Central Jutland
2024,56005.25,Central Jutland
2008,32266.5,Zealand Region
2009,32526.75,Zealand Region
2010,32667.75,Zealand Region
2011,32960.5,Zealand Region
2012,33143.5,Zealand Region
2013,33263.5,Zealand Region
2014,33430.75,Zealand Region
2015,33779.25,Zealand Region
2016,34115.5,Zealand Region
2017,34332.25,Zealand Region
2018,34532.0,Zealand Region
2019,34745.0,Zealand Region
2020,34842.75,Zealand Region
2021,35014.25,Zealand Region
2022,35487.0,Zealand Region
2023,36090.5,Zealand Region
2024,36316.75,Zealand Region
2008,80857.75,Zealand Region
